지적이	지적/NNG+이/JKS
베꼈다.	베끼/VV+었/EP+다/EM+./SF

겨울이	겨울/NNG+이/JKS
되면	되/VV+면/EM
온	오/VX+ㄴ/ETM
계곡이	계곡/NNG+이/JKS
회양목으로	회양목/NNG+으로/JKB
붉게	붉/VA+게/EM
물든다고	물들/VV+ㄴ다고/EM
해서	하/VX+아서/EM
불곡산이라고	불곡산/NNP+이라고/JKQ
불렸다고	불리/VV+었/EP+다고/EM
한다.	하/VX+ㄴ다/EM+./SF

최근	최근/MAG
서울	서울/NNP
강남역과	강남역/NNP+과/JKB
성남	성남/NNP
판교	판교/NNP
인근에서	인근/NNG+에서/JKB
분양된	분양/NNG+되/XSV+ㄴ/ETM
오피스텔은	오피스텔/NNG+은/JX
주변	주변/NNG
시세	시세/NNG
대비	대비/NNG
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
200만∼300만	200/SN+만/NR+∼/SO+300/SN+만/NR
원	원/NNB
비싸게	비싸/VA+게/EM
공급됐다.	공급/NNG+되/XSV+었/EP+다/EM+./SF

‘산은2020주식형	‘/SS+산은/NNP+2020/SN+주식형/NNG
펀드(C-d)’는	펀드/NNG+(/SS+C/SL+-/SO+d/SL+)/SS+’/SS+는/JX
순자산의	순자산/NNG+의/JKG
0.16%를	0/SN+./SP+16/SN+%/SW+를/JKO
떼내	떼/VV+어/EM+내/VX+어/EM
독거노인을	독거노인/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EM
저소득층	저소득층/NNG
자녀에게	자녀/NNG+에게/JKB
장학금을	장학금/NNG+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EM+./SF

하지만	하지만/MAJ
일각에서는	일각/NNG+에서/JKB+는/JX
“이미	“/SS+이미/MAG
헤비테일	헤비테일/NNG
방식이	방식/NNG+이/JKS
국제	국제/NNG
관행처럼	관행/NNG+처럼/JKB
굳어져	굳어지/VV+어/EM
개선하기	개선/NNG+하/XSV+기/ETN
힘들	힘들/VA+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나오고	나오/VV+고/EM
있다.	있/VX+다/EM+./SF

메릴린치	메릴린치/NNP
투자자문계약	투자/NNG+자문/NNG+계약/NNG
4건	4/SN+건/NNB
의혹	의혹/NNG

‘새정치민주연합	‘/SS+새정치민주연합/NNP
엠비(MB)정부	엠비/NNP+(/SS+MB/SL+)/SS+정부/NNG
해외자원개발	해외/NNG+자원/NNG+개발/NNG
국부유출	국부/NNG+유출/NNG

10일	10/SN+일/NNB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EM
“석유공사가	“/SS+석유공사/NNP+가/JKS
18조원에	18/SN+조/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
해외자원개발	해외/NNG+자원/NNG+개발/NNG
투자	투자/NNG
중	중/NNB
12조4412억원을	12/SN+조/NR+4412/SN+억/NR+원/NNB+을/JKO
미국계	미국/NNP+계/XSN
투자은행인	투자/NNG+은행/NNG+이/VCP+ㄴ/ETM
‘메릴린치’로부터	‘/SS+메릴린치/NNP+’/SS+로부터/JKB
투자자문을	투자/NNG+자문/NNG+을/JKO
받아	받/VV+아/EM
투자했으며,	투자/NNG+하/XSV+았/EP+으며/EM+,/SP
이	이/MM
중	중/NNB
현재까지	현재/NNG+까지/JX
회수한	회수/NNG+하/XSV+ㄴ/ETM
금액은	금액/NNG+은/JX
6730억원으로	6730/SN+억/NR+원/NNB+으로/JKB
회수율이	회수율/NNG+이/JKS
5.4%에	5/SN+./SP+4/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EM+./SF

안숙선	안숙선/NNP
명창은	명창/NNG+은/JX
2003년	2003/SN+년/NNB
타계한	타계/NNG+하/XSV+ㄴ/ETM
판소리	판소리/NNG
<수궁가>	</SS+수궁가/NNP+>/SS
전	전/NNG
예능보유자	예능/NNG+보유자/NNG
고	고/MM
정광수	정광수/NNP
명창을	명창/NNG+을/JKO
잇는	잇/VV+는/ETM
동편제	동편제/NNP
소리의	소리/NNG+의/JKG
맛을	맛/NNG+을/JKO
보여준다.	보이/VV+어/EM+주/VX+ㄴ다/EM+./SF

통원수술센터는	통원/NNG+수술/NNG+센터/NNG+는/JX
입원하지	입원/NNG+하/XSV+지/EM
않고	않/VX+고/EM
수술	수술/NNG
전	전/NNG
처치와	처치/NNG+와/JKB
수술,	수술/NNG+,/SP
회복까지	회복/NNG+까지/JX
당일에	당일/NNG+에/JKB
이루어진다.	이루어지/VV+ㄴ다/EM+./SF

대통령의	대통령/NNG+의/JKG
형	형/NNG
이상득	이상득/NNP
의원은	의원/NNG+은/JX
주가	주가/NNG
하락의	하락/NNG+의/JKG
직격탄을	직격탄/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EM+./SF

지난해	지난해/NNG
수능	수능/NNG
영어	영어/NNP
B형에서	B/SL+형/XSN+에서/JKB
전체	전체/NNG
평균	평균/NNG
정답률은	정답률/NNG+은/JX
68.24%인	68/SN+./SP+24/SN+%/SW+이/VCP+ㄴ/ETM
반면	반면/NNG
빈칸	빈칸/NNG
추론	추론/NNG
문제	문제/NNG
정답률은	정답률/NNG+은/JX
34.08%였다.	34/SN+./SP+08/SN+%/SW+이/VCP+었/EP+다/EM+./SF

올해	올해/NNG
재산세와	재산세/NNG+와/JKB
종합부동산세	종합/NNG+부동산세/NNG
부과	부과/NNG
기준이	기준/NNG+이/JKS
되는	되/VV+는/ETM
공동주택	공동/NNG+주택/NNG
공시가격이	공시/NNG+가격/NNG+이/JKS
지난해보다	지난해/NNG+보다/JKB
평균	평균/NNG
3.1%	3/SN+./SP+1/SN+%/SW
올랐다.	오르/VV+았/EP+다/EM+./SF

두	두/MM
편의	편의/NNG
논문	논문/NNG
심사에	심사/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
교수가	교수/NNG+가/JKS
해당	해당/NNG
대학원생들에게	대학원생/NNG+들/XSN+에게/JKB
돈을	돈/NNG+을/JKO
받고	받/VV+고/EM
‘찍어낸’	‘/SS+찍/VV+어/EM+내/VX+ㄴ/ETM+’/SS
논문이었다.	논문/NNG+이/VCP+었/EP+다/EM+./SF

하지만	하지만/MAJ
힐러리가	힐러리/NNP+가/JKS
국무장관으로	국무/NNG+장관/NNG+으로/JKB
일하면서	일/NNG+하/XSV+면서/EM
